path,bytes,lines,classes,functions,syntax_error,class_names,function_names,constants,sha256
mugenforge/sff2_bridge.py,17806,396,1,15,,BridgeResult,"_rel, _write_text, _image_files, parse_group_image_from_name, _image_size, _axis_for, scan_image_folder_for_sprmake, _copy_images, write_sprmake2_def, write_sprmake2_bridge_project, run_sprmake2, export_current_sff1_to_sff2_source, inspect_sprmake2_def, create_sff2_source_pack_zip, write_sff2_bridge_guide",IMAGE_EXTS,f1e778dff3790876b6e4d2abd9aa552cb76b32a9b9558d99b392a233d20549d1
mugenforge/sff2_codec.py,37520,914,4,23,,"Sff2Error, Sff2PaletteRecord, Sff2SpriteRecord, Sff2Info","_u16, _i16, _u32, _safe_u32, _in_range, _looks_like_standard_sff2, read_sff2, _palette_payload, palette_rgba, _indices_to_rgba_image, decode_rle8_indices, encode_rle8_indices, _try_decode_rle5_indices, _unpack_5bit_indices, _try_decode_lz5_indices, decode_sprite_image, export_sff2_sprites, write_sff2_axis_sheet, patch_sff2_axis_copy, _image_to_payload, build_sff2_from_manifest, write_sff2_report, export_sff2_decoded_images","SFF_SIGNATURE, SFF2_VERSION_BYTES, SFF21_VERSION_BYTES, SFF2_SPRITE_RECORD_SIZE, SFF2_PALETTE_RECORD_SIZE, SFF2_HEADER_SIZE, FORMAT_NAMES",e8b7b62c88f2b2e983b6f5c03329810946cac2af05401b62b8eae1cd3cbce3f6
mugenforge/sff_codec.py,127732,2985,7,82,,"SffSprite, SffInfo, Sff2PaletteRecord, Sff2StandardRecord, Sff2PaletteRecord, Sff2ImageRecord, Sff2StandardInfo","_u32, _i16, _u16, read_sff, _safe_u32, _inspect_sff2_header, _find_all, sprite_lookup, export_sprite, export_all_sprites, try_convert_to_png, summarize_sff_detailed, _encode_image_to_pcx_bytes, _load_manifest_records, build_sff_v1_from_manifest, stage_sff_replacement_manifest, _load_replacement_records, build_sff_v1_from_replacement_manifest, summarize_replacement_manifest, summarize_manifest_for_sff, _mf_i16, _mf_u8, _mf_try_u32, _mf_plausible_range, _mf_parse_sff2_standard, _mf_unpack_payload, _mf_decode_rle_pairs, _mf_encode_rle_pairs, _mf_decode_lz5_stream, _mf_encode_lz5_literal","SFF_SIGNATURE, SFF2_FORMAT_NAMES, SFF2_NAME_TO_FORMAT, SFF2_IMAGE_FORMATS, SFF2_DECODABLE_FORMATS, SFF2_EXPERIMENTAL_FORMATS, SFF2_STANDARD_VERSIONS, SFF2_LEGACY_LITTLE_VERSION, SFF2_FORMAT_NAMES, SFF2_NAME_TO_FORMAT",fabebe4a9e032982d8eb487a200bd1ab30a54cd02000fc2250f76daba295c4da
mugenforge/snd_codec.py,14958,378,2,16,,"SndSound, SndInfo","_u32, _i32, _u16, _parse_wave_fmt, _infer_legacy_ids, read_snd, export_sound, export_all_sounds, _id_from_filename, make_snd_manifest_from_wav_folder, _load_snd_manifest, build_snd_from_manifest, summarize_snd_manifest, summarize_snd_detailed, make_silent_wav, make_placeholder_sound_bank","SND_SIGNATURE, MUGENFORGE_SND_HEADER_SIZE, MUGENFORGE_SND_FIRST_OFFSET",0056633724d4e42ad47f2a9b4836aca27383f53c373cd2d4e20eaa25bc804756
mugenforge/spritesheet_tools.py,4117,126,1,6,,SheetSlice,"require_pillow, compute_grid_slices, export_grid_slices, write_manifest, make_air_action_from_slices, make_preview_image",,789c26d04b4d5f434422f9a3e27c40fce1fdd8f0f25b11e517e7773d4a5d33a9
mugenforge/studio_plus.py,36516,879,1,28,,StudioPlusResult,"_now_tag, _backup, _safe_rel, _main_def, _def_file_paths, _feature_markers, _action_numbers, _air_sprite_refs, _state_numbers, _score_from_findings, project_findings, _duplicate_report, studio_plus_report_text, write_studio_plus_report, write_studio_plus_report_json, _common_action_block, append_missing_standard_air_actions, auto_fix_project_plus, write_beginner_docs, make_project_snapshot, build_release_zip_plus, create_sff_contact_sheet, export_action_gif, batch_import_sprite_folder_to_sff, _infer_group_image, generate_air_from_sff_groups, clone_air_action_variant, make_stage_template",,6c049672e41eb7b46b8aa0ece940148ee5dcf674939a991dfe6c598cacb42e29
mugenforge/visual_forge.py,41262,950,5,34,,"VisualForgeResult, BeginnerProjectSpec, TimelineSelection, SoundCueSpec, MigrationSpec","_safe_name, _timestamp, _uniq, _rel, _vf_dir, _docs_dir, _write_text, _write_json, backup_file, log_error, _replace_or_add_kv, _int, _first_int, create_visual_forge_project, write_beginner_project_home, _code_files, _extract_anim_elem, _collect_code_events, build_visual_timeline_model, write_visual_timeline_manifest, _format_air_frame_line, update_air_frame_ticks, update_air_frame_offset, build_sprite_offset_model, write_sound_cue_manifest, add_sound_cue_controller, compose_move2, migrate_existing_character, install_training_debug_pack, install_template_architecture","VISUAL_FORGE_VERSION, TEXT_SUFFIXES, IMAGE_SUFFIXES, AUDIO_SUFFIXES, SKIP_BACKUP_PARTS",671de65c40ace4f33e99dad78a956bf1690d4a37f74a7a3e05d9ef55d8e00e3d
tools/package_release.py,1256,42,0,3,,,"_find_root, should_skip, main","ROOT, OUT, SKIP_PARTS, SKIP_SUFFIXES",29d8d01d97a6ed07aeeff0ae6891c6b341fa922a059711508d3da5b02791317e
tools/print_latest_handoff.py,557,16,0,1,,,_find_root,"ROOT, CANDIDATES",db36396fc6bc1b9062c9aa0cc1a172e9f72adb10bc947bbd0acfd4371c422a89
tools/run_mugenforge_smoke.py,1896,53,0,3,,,"_find_root, run, main",ROOT,8c7ec2c567c79a543174e2f8ad1b319d0d0f05d20041c2262304f1199293ab51
